team,home_venue,full_name
CSK,MA Chidambaram Stadium, Chennai,Chennai Super Kings
RCB,M Chinnaswamy Stadium, Bengaluru,Royal Challengers Bengaluru
MI,Wankhede Stadium, Mumbai,Mumbai Indians
MI,Dr DY Patil Stadium, Mumbai,Mumbai Indians
RR,Sawai Mansingh Stadium, Jaipur,Rajasthan Royals
RR,Barsapara Stadium, Guwahati,Rajasthan Royals
KKR,Eden Gardens, Kolkata,Kolkata Knight Riders
LSG,Ekana Cricket Stadium, Lucknow,Lucknow Super Giants
GT,Narendra Modi Stadium, Ahmedabad,Gujarat Titans
DC,Feroz Shah Kotla,Delhi Capitals
DC,Arun Jaitley Stadium, Delhi,Delhi Capitals
PBKS,PCA New Stadium, Mullanpur,Punjab Kings
PBKS,HPCA Stadium, Dharamsala,Punjab Kings
SRH,Rajiv Gandhi Intl Stadium, Hyderabad,Sunrisers Hyderabad
SRH,ACA-VDCA Stadium, Visakhapatnam, Hyderabad,Sunrisers Hyderabad
